company_id,code,name,type,nature,parent_code,is_active,is_system,description,id,created_date,updated_date,created_by_id,is_sample
"691f786bcf15b38eaf75a544","4.3","DESPESAS COMERCIAIS","despesa","devedora","4","true","true","","692f92738c846beed850bb24","2025-12-03T01:29:23.160000","2025-12-03T01:29:23.160000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","4.4","DESPESAS COM PESSOAL","despesa","devedora","4","true","true","","692f92738c846beed850bb25","2025-12-03T01:29:23.160000","2025-12-03T01:29:23.160000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","4.5","DESPESAS FINANCEIRAS","despesa","devedora","4","true","true","","692f92738c846beed850bb26","2025-12-03T01:29:23.160000","2025-12-03T01:29:23.160000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","4.6","IMPOSTOS E TRIBUTOS","despesa","devedora","4","true","true","","692f92738c846beed850bb27","2025-12-03T01:29:23.160000","2025-12-03T01:29:23.160000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.1.01","Caixa","ativo","devedora","1.1","true","true","","692f92738c846beed850bb0a","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.1.02","Bancos Conta Movimento","ativo","devedora","1.1","true","true","","692f92738c846beed850bb0b","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.1.03","Aplicações Financeiras","ativo","devedora","1.1","true","true","","692f92738c846beed850bb0c","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.1.04","Clientes a Receber","ativo","devedora","1.1","true","true","","692f92738c846beed850bb0d","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.1.05","Estoques","ativo","devedora","1.1","true","true","","692f92738c846beed850bb0e","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","1.2","ATIVO NÃO CIRCULANTE","ativo","devedora","1","true","true","","692f92738c846beed850bb0f","2025-12-03T01:29:23.159000","2025-12-03T01:29:23.159000","691f77ab8d822917920b4ee5","false"
