company_id,name,type,color,icon,chart_account_id,is_active,is_system,id,created_date,updated_date,created_by_id,is_sample
"691f786bcf15b38eaf75a544","ICMS sobre Vendas","despesa","#F59E0B","","","true","false","692f92721ca83b62234be23d","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","PIS sobre Vendas","despesa","#D97706","","","true","false","692f92721ca83b62234be23e","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","COFINS sobre Vendas","despesa","#B45309","","","true","false","692f92721ca83b62234be23f","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","ISS sobre Serviços","despesa","#92400E","","","true","false","692f92721ca83b62234be240","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Devoluções e Abatimentos","despesa","#78350F","","","true","false","692f92721ca83b62234be241","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Custo das Mercadorias Vendidas","despesa","#EF4444","","","true","false","692f92721ca83b62234be242","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Custo dos Serviços Prestados","despesa","#DC2626","","","true","false","692f92721ca83b62234be243","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Custo de Produção","despesa","#B91C1C","","","true","false","692f92721ca83b62234be244","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Matéria-Prima","despesa","#991B1B","","","true","false","692f92721ca83b62234be245","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Mão de Obra Direta","despesa","#7F1D1D","","","true","false","692f92721ca83b62234be246","2025-12-03T01:29:22.485000","2025-12-03T01:29:22.485000","691f77ab8d822917920b4ee5","false"
